연번,연도,관서구분,발생건수
1,2020,서울중부경찰서,113
2,2020,서울종로경찰서,115
3,2020,서울남대문경찰서,73
4,2020,서울서대문경찰서,159
5,2020,서울혜화경찰서,77
6,2020,서울용산경찰서,230
7,2020,서울성북경찰서,95
8,2020,서울동대문경찰서,161
9,2020,서울마포경찰서,348
10,2020,서울영등포경찰서,315
11,2020,서울성동경찰서,115
12,2020,서울동작경찰서,226
13,2020,서울광진경찰서,255
14,2020,서울서부경찰서,76
15,2020,서울강북경찰서,159
16,2020,서울금천경찰서,117
17,2020,서울중랑경찰서,183
18,2020,서울강남경찰서,513
19,2020,서울관악경찰서,403
20,2020,서울강서경찰서,265
21,2020,서울강동경찰서,188
22,2020,서울종암경찰서,47
23,2020,서울구로경찰서,197
24,2020,서울서초경찰서,333
25,2020,서울양천경찰서,109
26,2020,서울송파경찰서,287
27,2020,서울노원경찰서,169
28,2020,서울방배경찰서,63
29,2020,서울은평경찰서,95
30,2020,서울도봉경찰서,82
31,2020,서울수서경찰서,195
32,2020,부산중부경찰서,42
33,2020,부산동래경찰서,101
34,2020,부산영도경찰서,25
35,2020,부산동부경찰서,43
36,2020,부산진경찰서,295
37,2020,부산서부경찰서,22
38,2020,부산남부경찰서,152
39,2020,부산해운대경찰서,174
40,2020,부산사상경찰서,109
41,2020,부산금정경찰서,81
42,2020,부산사하경찰서,98
43,2020,부산연제경찰서,110
44,2020,부산강서경찰서,35
45,2020,부산북부경찰서,80
46,2020,부산기장경찰서,49
47,2020,대구중부경찰서,118
48,2020,대구동부경찰서,120
49,2020,대구서부경찰서,63
50,2020,대구남부경찰서,49
51,2020,대구북부경찰서,60
52,2020,대구수성경찰서,107
53,2020,대구달서경찰서,75
54,2020,대구성서경찰서,106
55,2020,대구달성경찰서,53
56,2020,대구강북경찰서,53
57,2020,인천중부경찰서,133
58,2020,인천미추홀경찰서,232
59,2020,인천남동경찰서,212
60,2020,인천부평경찰서,106
61,2020,인천서부경찰서,191
62,2020,인천계양경찰서,86
63,2020,인천강화경찰서,24
64,2020,인천연수경찰서,120
65,2020,인천삼산경찰서,188
66,2020,인천논현경찰서,84
67,2020,광주동부경찰서,65
68,2020,광주서부경찰서,164
69,2020,광주북부경찰서,153
70,2020,광주광산경찰서,144
71,2020,광주남부경찰서,56
72,2020,대전중부경찰서,127
73,2020,대전동부경찰서,91
74,2020,대전서부경찰서,102
75,2020,대전대덕경찰서,63
76,2020,대전둔산경찰서,162
77,2020,대전유성경찰서,117
78,2020,울산남부경찰서,177
79,2020,울산중부경찰서,118
80,2020,울산울주경찰서,66
81,2020,울산북부경찰서,6
82,2020,울산동부경찰서,79
83,2020,세종경찰서,80
84,2020,경기수원중부경찰서,140
85,2020,경기수원남부경찰서,310
86,2020,경기수원서부경찰서,125
87,2020,경기안양동안경찰서,116
88,2020,경기안양만안경찰서,112
89,2020,경기군포경찰서,94
90,2020,경기성남수정경찰서,113
91,2020,경기성남중원경찰서,115
92,2020,경기분당경찰서,134
93,2020,경기부천소사경찰서,83
94,2020,경기부천원미경찰서,270
95,2020,경기부천오정경찰서,68
96,2020,경기광명경찰서,108
97,2020,경기안산단원경찰서,197
98,2020,경기안산상록경찰서,162
99,2020,경기시흥경찰서,241
100,2020,경기평택경찰서,228
101,2020,경기오산경찰서,105
102,2020,경기화성서부경찰서,97
103,2020,경기용인동부경찰서,162
104,2020,경기용인서부경찰서,48
105,2020,경기광주경찰서,78
106,2020,경기과천경찰서,18
107,2020,경기의왕경찰서,36
108,2020,경기하남경찰서,64
109,2020,경기이천경찰서,113
110,2020,경기김포경찰서,124
111,2020,경기안성경찰서,82
112,2020,경기여주경찰서,51
113,2020,경기양평경찰서,45
114,2020,경기화성동탄경찰서,131
115,2020,경기의정부경찰서,221
116,2020,경기고양경찰서,108
117,2020,경기일산동부경찰서,143
118,2020,경기일산서부경찰서,52
119,2020,경기남양주경찰서,173
120,2020,경기파주경찰서,108
121,2020,경기양주경찰서,74
122,2020,경기동두천경찰서,52
123,2020,경기구리경찰서,81
124,2020,경기포천경찰서,71
125,2020,경기가평경찰서,56
126,2020,경기연천경찰서,11
127,2020,강원강릉경찰서,115
128,2020,강원고성경찰서,10
129,2020,강원동해경찰서,37
130,2020,강원삼척경찰서,20
131,2020,강원속초경찰서,52
132,2020,강원양구경찰서,6
133,2020,강원영월경찰서,15
134,2020,강원원주경찰서,115
135,2020,강원인제경찰서,4
136,2020,강원정선경찰서,11
137,2020,강원철원경찰서,7
138,2020,강원춘천경찰서,97
139,2020,강원태백경찰서,21
140,2020,강원평창경찰서,15
141,2020,강원홍천경찰서,34
142,2020,강원화천경찰서,9
143,2020,강원횡성경찰서,17
144,2020,충북괴산경찰서,31
145,2020,충북단양경찰서,6
146,2020,충북보은경찰서,12
147,2020,충북영동경찰서,8
148,2020,충북옥천경찰서,16
149,2020,충북음성경찰서,56
150,2020,충북제천경찰서,52
151,2020,충북진천경찰서,29
152,2020,충북청주청원경찰서,132
153,2020,충북청주흥덕경찰서,149
154,2020,충북충주경찰서,80
155,2020,충북청주상당경찰서,74
156,2020,충남천안서북경찰서,196
157,2020,충남천안동남경찰서,101
158,2020,충남서산경찰서,70
159,2020,충남아산경찰서,93
160,2020,충남논산경찰서,39
161,2020,충남공주경찰서,49
162,2020,충남보령경찰서,45
163,2020,충남당진경찰서,56
164,2020,충남홍성경찰서,39
165,2020,충남예산경찰서,28
166,2020,충남부여경찰서,11
167,2020,충남서천경찰서,30
168,2020,충남금산경찰서,24
169,2020,충남청양경찰서,5
170,2020,충남태안경찰서,20
171,2020,전북고창경찰서,20
172,2020,전북군산경찰서,104
173,2020,전북김제경찰서,27
174,2020,전북남원경찰서,23
175,2020,전북무주경찰서,11
176,2020,전북부안경찰서,23
177,2020,전북순창경찰서,4
178,2020,전북완주경찰서,22
179,2020,전북익산경찰서,85
180,2020,전북임실경찰서,8
181,2020,전북장수경찰서,4
182,2020,전북전주덕진경찰서,123
183,2020,전북전주완산경찰서,149
184,2020,전북정읍경찰서,37
185,2020,전북진안경찰서,4
186,2020,전남목포경찰서,126
187,2020,전남여수경찰서,126
188,2020,전남순천경찰서,102
189,2020,전남나주경찰서,39
190,2020,전남광양경찰서,49
191,2020,전남고흥경찰서,15
192,2020,전남해남경찰서,22
193,2020,전남장흥경찰서,23
194,2020,전남보성경찰서,16
195,2020,전남영광경찰서,10
196,2020,전남화순경찰서,20
197,2020,전남함평경찰서,12
198,2020,전남영암경찰서,24
199,2020,전남장성경찰서,10
200,2020,전남강진경찰서,11
201,2020,전남담양경찰서,19
202,2020,전남곡성경찰서,10
203,2020,전남완도경찰서,12
204,2020,전남무안경찰서,26
205,2020,전남진도경찰서,8
206,2020,전남구례경찰서,8
207,2020,경북경주경찰서,93
208,2020,경북포항북부경찰서,95
209,2020,경북포항남부경찰서,78
210,2020,경북구미경찰서,122
211,2020,경북경산경찰서,108
212,2020,경북안동경찰서,60
213,2020,경북김천경찰서,42
214,2020,경북영주경찰서,33
215,2020,경북영천경찰서,30
216,2020,경북상주경찰서,31
217,2020,경북문경경찰서,24
218,2020,경북칠곡경찰서,27
219,2020,경북의성경찰서,12
220,2020,경북청도경찰서,7
221,2020,경북영덕경찰서,10
222,2020,경북울진경찰서,10
223,2020,경북봉화경찰서,11
224,2020,경북예천경찰서,13
225,2020,경북성주경찰서,11
226,2020,경북청송경찰서,18
227,2020,경북영양경찰서,5
228,2020,경북군위경찰서,1
229,2020,경북고령경찰서,1
230,2020,경북울릉경찰서,3
231,2020,경남창원중부경찰서,105
232,2020,경남창원서부경찰서,47
233,2020,경남마산중부경찰서,50
234,2020,경남마산동부경찰서,73
235,2020,경남진주경찰서,126
236,2020,경남김해중부경찰서,98
237,2020,경남김해서부경찰서,49
238,2020,경남양산경찰서,100
239,2020,경남거제경찰서,98
240,2020,경남진해경찰서,54
241,2020,경남통영경찰서,60
242,2020,경남사천경찰서,32
243,2020,경남밀양경찰서,38
244,2020,경남거창경찰서,13
245,2020,경남합천경찰서,11
246,2020,경남창녕경찰서,14
247,2020,경남고성경찰서,18
248,2020,경남하동경찰서,11
249,2020,경남남해경찰서,10
250,2020,경남함양경찰서,9
251,2020,경남산청경찰서,8
252,2020,경남함안경찰서,11
253,2020,경남의령경찰서,8
254,2020,제주서귀포경찰서,88
255,2020,제주동부경찰서,155
256,2020,제주서부경찰서,153
